Date & Time, Temprature *C, Humidity %
[2021-12-23 02:01:27.236] ,26.3,47
[2021-12-23 02:01:29.257] ,26.4,47
[2021-12-23 02:01:31.290] ,26.4,47
[2021-12-23 02:01:33.317] ,26.4,47
[2021-12-23 02:01:35.353] ,26.3,47
[2021-12-23 02:01:37.366] ,26.4,47
[2021-12-23 02:01:39.408] ,26.4,47
[2021-12-23 02:01:41.429] ,26.4,47
[2021-12-23 02:01:43.464] ,26.4,47
[2021-12-23 02:01:45.490] ,26.4,47
[2021-12-23 02:01:47.518] ,26.4,47
[2021-12-23 02:01:49.531] ,26.4,47
[2021-12-23 02:01:51.567] ,26.4,48
[2021-12-23 02:01:53.601] ,26.4,48
[2021-12-23 02:01:55.629] ,26.4,48
[2021-12-23 02:01:57.657] ,26.4,48
[2021-12-23 02:01:59.684] ,26.4,48
[2021-12-23 02:02:01.710] ,26.4,48
[2021-12-23 02:02:03.734] ,26.4,48
[2021-12-23 02:02:05.766] ,26.4,48
[2021-12-23 02:02:07.783] ,26.4,48
[2021-12-23 02:02:09.822] ,26.4,48
[2021-12-23 02:02:11.853] ,26.4,48
[2021-12-23 02:02:13.877] ,26.4,47
[2021-12-23 02:02:15.908] ,26.4,47
[2021-12-23 02:02:17.937] ,26.4,47
[2021-12-23 02:02:19.958] ,26.4,47
[2021-12-23 02:02:21.991] ,26.4,47
[2021-12-23 02:02:24.020] ,26.4,47
[2021-12-23 02:02:26.045] ,26.3,47
[2021-12-23 02:02:28.075] ,26.3,47
[2021-12-23 02:02:30.101] ,26.4,47
[2021-12-23 02:02:32.123] ,26.4,47
[2021-12-23 02:02:34.155] ,26.4,47
[2021-12-23 02:02:36.175] ,26.4,47
[2021-12-23 02:02:38.208] ,26.3,48
[2021-12-23 02:02:40.239] ,26.3,48
[2021-12-23 02:02:42.271] ,26.3,48
[2021-12-23 02:02:44.293] ,26.4,48
[2021-12-23 02:02:46.327] ,26.4,48
[2021-12-23 02:02:48.355] ,26.3,48
[2021-12-23 02:02:50.376] ,26.3,48
[2021-12-23 02:02:52.408] ,26.4,48
[2021-12-23 02:02:54.438] ,26.3,48
[2021-12-23 02:02:56.466] ,26.3,48
[2021-12-23 02:02:58.490] ,26.3,48
[2021-12-23 02:03:00.517] ,26.4,48
[2021-12-23 02:03:02.548] ,26.4,48
[2021-12-23 02:03:04.570] ,26.3,47
[2021-12-23 02:03:06.599] ,26.4,47
[2021-12-23 02:03:08.630] ,26.3,47
[2021-12-23 02:03:10.665] ,26.4,47
[2021-12-23 02:03:12.681] ,26.3,48
[2021-12-23 02:03:14.711] ,26.4,48
[2021-12-23 02:03:16.742] ,26.3,48
[2021-12-23 02:03:18.766] ,26.4,48
[2021-12-23 02:03:20.798] ,26.3,48
[2021-12-23 02:03:22.819] ,26.4,48
[2021-12-23 02:03:24.850] ,26.3,48
[2021-12-23 02:03:26.875] ,26.4,48
[2021-12-23 02:03:28.902] ,26.3,48
[2021-12-23 02:03:30.939] ,26.3,48
